Algorithm,Rank,Node,Score,NetworkX Score,Difference
gauss_seidel (fixed ω=1.000),1,438493,0.013028,0.012987,0.000042
gauss_seidel (fixed ω=1.000),2,185821,0.006474,0.006475,0.000002
gauss_seidel (fixed ω=1.000),3,74397,0.005564,0.005584,0.000019
gauss_seidel (fixed ω=1.000),4,32163,0.004930,0.004933,0.000003
gauss_seidel (fixed ω=1.000),5,877491,0.004137,0.004119,0.000018
gauss_seidel (fixed ω=1.000),6,597621,0.004123,0.004129,0.000006
gauss_seidel (fixed ω=1.000),7,823296,0.003825,0.003801,0.000023
gauss_seidel (fixed ω=1.000),8,455062,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.000),9,30115,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.000),10,232639,0.003527,0.003519,0.000008
gauss_seidel (fixed ω=1.025),1,438493,0.013028,0.012987,0.000042
gauss_seidel (fixed ω=1.025),2,185821,0.006474,0.006475,0.000002
gauss_seidel (fixed ω=1.025),3,74397,0.005564,0.005584,0.000019
gauss_seidel (fixed ω=1.025),4,32163,0.004930,0.004933,0.000003
gauss_seidel (fixed ω=1.025),5,877491,0.004137,0.004119,0.000018
gauss_seidel (fixed ω=1.025),6,597621,0.004123,0.004129,0.000006
gauss_seidel (fixed ω=1.025),7,823296,0.003825,0.003801,0.000023
gauss_seidel (fixed ω=1.025),8,455062,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.025),9,30115,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.025),10,232639,0.003527,0.003519,0.000008
gauss_seidel (fixed ω=1.035),1,438493,0.013028,0.012987,0.000042
gauss_seidel (fixed ω=1.035),2,185821,0.006474,0.006475,0.000002
gauss_seidel (fixed ω=1.035),3,74397,0.005564,0.005584,0.000019
gauss_seidel (fixed ω=1.035),4,32163,0.004930,0.004933,0.000003
gauss_seidel (fixed ω=1.035),5,877491,0.004137,0.004119,0.000018
gauss_seidel (fixed ω=1.035),6,597621,0.004123,0.004129,0.000006
gauss_seidel (fixed ω=1.035),7,823296,0.003825,0.003801,0.000023
gauss_seidel (fixed ω=1.035),8,455062,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.035),9,30115,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.035),10,232639,0.003527,0.003519,0.000008
gauss_seidel (fixed ω=1.055),1,438493,0.013028,0.012987,0.000042
gauss_seidel (fixed ω=1.055),2,185821,0.006474,0.006475,0.000002
gauss_seidel (fixed ω=1.055),3,74397,0.005564,0.005584,0.000019
gauss_seidel (fixed ω=1.055),4,32163,0.004930,0.004933,0.000003
gauss_seidel (fixed ω=1.055),5,877491,0.004137,0.004119,0.000018
gauss_seidel (fixed ω=1.055),6,597621,0.004123,0.004129,0.000006
gauss_seidel (fixed ω=1.055),7,823296,0.003825,0.003801,0.000023
gauss_seidel (fixed ω=1.055),8,455062,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.055),9,30115,0.003703,0.003688,0.000015
gauss_seidel (fixed ω=1.055),10,232639,0.003527,0.003519,0.000008
gauss_seidel (dynamic ω),1,438493,0.013028,0.012987,0.000042
gauss_seidel (dynamic ω),2,185821,0.006474,0.006475,0.000002
gauss_seidel (dynamic ω),3,74397,0.005564,0.005584,0.000019
gauss_seidel (dynamic ω),4,32163,0.004930,0.004933,0.000003
gauss_seidel (dynamic ω),5,877491,0.004137,0.004119,0.000018
gauss_seidel (dynamic ω),6,597621,0.004123,0.004129,0.000006
gauss_seidel (dynamic ω),7,823296,0.003825,0.003801,0.000023
gauss_seidel (dynamic ω),8,455062,0.003703,0.003688,0.000015
gauss_seidel (dynamic ω),9,30115,0.003703,0.003688,0.000015
gauss_seidel (dynamic ω),10,232639,0.003527,0.003519,0.000008
